osm_id,damage,prediction
301845777,1,0
301845778,0,1
301845779,1,1
301845781,1,0
301845784,0,1
301845786,0,1
301845788,0,1
301845791,1,1
301845795,0,0
301845797,0,1
301845798,1,0
301845800,1,0
301845801,0,0
301845802,0,0
301845804,0,0
301845807,0,0
301845808,0,1
301845809,0,1
301845810,0,0
301845812,1,0
301845814,0,0
301845815,1,0
301845816,1,1
301845817,1,1
301845819,0,0
301845821,0,0
301845822,0,0
301845823,1,1
301845824,0,1
301845826,1,1
301845827,0,0
301845828,1,1
301845830,0,0
301845831,0,1
301845833,1,0
301845834,0,0
301845836,1,1
301845837,1,1
301845838,1,0
301845839,1,1
301845840,1,0
301845844,1,0
301845845,0,1
301845847,1,0
301845848,0,0
301845850,0,0
301845851,0,0
301845853,0,1
301845854,1,0
301845856,0,1
301845858,1,1
301845859,0,0
301845860,1,1
301845861,0,0
301845865,1,0
301845867,0,0
301845868,1,1
301845869,1,1
301845870,0,1
301845872,1,1
301845874,1,1
301845875,1,1
301845878,1,1
301845879,0,1
301845881,0,1
301845883,0,0
301845884,1,1
301845886,1,0
301845887,0,0
301845888,0,0
301845889,0,0
301845890,1,0
301845892,0,0
301845893,0,1
301845894,1,1
301845895,0,1
301845897,1,0
301845899,1,0
301845900,1,0
301845902,1,1
301845904,0,0
301845905,1,1
301845906,0,1
301845907,1,0
301845909,0,1
301845910,1,0
301845911,1,1
301845915,0,0
301845916,1,1
301845917,0,0
301845918,1,1
301845920,1,0
301845921,1,0
301845922,0,1
301845923,0,0
301845924,0,1
301845926,0,0
301845930,0,0
301845933,1,1
301845935,1,1
301845937,0,0
301845938,1,1
301845939,1,0
301845942,1,0
301845943,0,1
301845945,0,0
301845947,0,0
301845948,1,1
301845949,0,0
301845950,0,0
301845951,0,0
301845956,0,1
301845957,0,0
301845959,1,0
301845960,1,0
301845961,1,1
301845963,0,1
301845964,1,1
301845965,0,0
301845966,0,0
301845967,0,0
301845969,0,0
301845973,1,1
301845978,0,1
301845981,1,1
301845984,0,0
301845988,0,0
301845994,0,0
301845995,1,1
301845997,1,1
301846001,1,1
301846002,1,0
301846003,1,1
304415128,0,1
304415129,0,1
304415131,0,0
304416101,0,0
304416102,0,0
304416103,0,1
304483223,0,0
304483224,1,1
304483225,1,1
